arrow,arrow
SKU,SKU
None,None
Quantity,Quantity
"Choose a selection...","Choose a selection..."
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Wish List","Add to Wish List"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Learn More","Learn More"
"Related Products","Related Products"
相關商品,相關商品
"We found other products you might like!","We found other products you might like!"
其他客人也喜歡,其他客人也喜歡
"More Choices:","More Choices:"
編輯精選商品,編輯精選商品
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
Qty,Qty
商品介紹,商品介紹
Availability,Availability
"Only %1 remaining","Only %1 remaining"
Item,Item
Price,Price
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Subtotal,Subtotal
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Continue Shopping","Continue Shopping"
地址簿,地址簿
管理地址,管理地址
預設帳單地址,預設帳單地址
編輯地址,編輯地址
預設配送地址,預設配送地址
帳戶資訊,帳戶資訊
聯絡資訊,聯絡資訊
編輯,編輯
更改密碼,更改密碼
電子報,電子報
您已訂閱電子報,您已訂閱電子報
您尚未訂閱電子報,您尚未訂閱電子報
"* Required Fields","* Required Fields"
Telephone,Telephone
"更改帳戶 Email及密碼","更改帳戶 Email及密碼"
"Change Email","Change Email"
"Change Password","Change Password"
"Change Email and Password","Change Email and Password"
Email,Email
"Current Password","Current Password"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
Save,Save
"Go back","Go back"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
重設密碼,重設密碼
請輸入您註冊的電子信箱，我們將寄送一組新密碼給您。,請輸入您註冊的電子信箱，我們將寄送一組新密碼給您。
送出,送出
返回登入,返回登入
"Registered Customers","Registered Customers"
OR,OR
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
密碼,密碼
忘記密碼?,忘記密碼?
登入,登入
註冊,註冊
"Grouped product items","Grouped product items"
商品名稱,商品名稱
數量,數量
"Product Name","Product Name"
"No options of this product are available.","No options of this product are available."
"Shop By","Shop By"
"Filter close icon","Filter close icon"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
" 電子報"," 電子報"
"Enter your email address","Enter your email address"
Subscribe,Subscribe
最近訂單,最近訂單
瀏覽所有訂單,瀏覽所有訂單
"Recent Orders","Recent Orders"
訂單編號,訂單編號
日期,日期
收件人,收件人
訂單金額,訂單金額
狀態,狀態
操作,操作
"Order #","Order #"
Date,Date
"Ship To","Ship To"
"Order Total","Order Total"
Status,Status
Actions,Actions
瀏覽訂單,瀏覽訂單
重下訂單,重下訂單
"You have placed no orders.","You have placed no orders."
Login,Login
Register,Register
"hi %1!","hi %1!"
"Member Account","Member Account"
Orders,Orders
Wishlist,Wishlist
"Sign Out","Sign Out"
"Toggle Nav","Toggle Nav"
"My Cart","My Cart"
Close,Close
total,total
item,item
items,items
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"View and edit cart","View and edit cart"
完成,完成
Edit,Edit
"Ship Here","Ship Here"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
Next,Next
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Shipping Address","Shipping Address"
"New Address","New Address"
"Checkout out as a new customer","Checkout out as a new customer"
或註冊成為會員,或註冊成為會員
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
註冊或登入,註冊或登入
請先登入,請先登入
"Guest checkout is disabled.","Guest checkout is disabled."
商品成分,商品成分
洗滌方式,洗滌方式
none,none
尺寸表,尺寸表
試穿報告,試穿報告
